#=====================================================
# File created:        Mon-06-Nov-2023-at-04-39-36PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.300
# Run time (s):        13.740636
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00474    0.4375   -1459.5014  0.9202 
   00475    0.4125   -1466.5724  0.9161 
   00476    0.4325   -1469.1833  0.9213 
   00477    0.4625   -1467.1831  0.9165 
   00478    0.4425   -1477.6877  0.9222 
   00479    0.4250   -1472.5820  0.9215 
   00480    0.4325   -1462.8870  0.9172 
   00481    0.4625   -1464.4871  0.9155 
   00482    0.4075   -1455.0095  0.9158 
   00483    0.4400   -1454.9010  0.9104 
   00484    0.3625   -1457.7667  0.9127 
   00485    0.4300   -1465.8130  0.9213 
   00486    0.4650   -1477.7525  0.9236 
   00487    0.4325   -1485.6456  0.9277 
   00488    0.4325   -1494.1909  0.9308 
   00489    0.4125   -1488.1080  0.9273 
   00490    0.4650   -1477.4299  0.9257 
   00491    0.3975   -1481.8640  0.9291 
   00492    0.4250   -1475.4518  0.9284 
   00493    0.4400   -1481.4006  0.9279 
   00494    0.4425   -1478.8268  0.9273 
   00495    0.4200   -1484.1634  0.9254 
   00496    0.4400   -1482.1114  0.9196 
   00497    0.4375   -1469.4225  0.9156 
   00498    0.4150   -1468.7523  0.9159 
   00499    0.4225   -1465.6907  0.9165 
   00500    0.4500   -1473.9334  0.9213 
   00501    0.4300   -1470.5675  0.9196 
   00502    0.4550   -1461.9700  0.9207 
   00503    0.4150   -1466.8201  0.9212 
   00504    0.4575   -1462.9035  0.9146 
   00505    0.4575   -1474.7092  0.9189 
   00506    0.5075   -1465.9849  0.9173 
   00507    0.4225   -1459.7314  0.9149 
   00508    0.4325   -1460.3318  0.9154 
   00509    0.4875   -1459.1436  0.9192 
   00510    0.4125   -1461.0221  0.9128 
   00511    0.4625   -1462.0929  0.9157 
   00512    0.4750   -1474.0630  0.9150 
   00513    0.4625   -1472.6047  0.9160 
   00514    0.4250   -1484.9575  0.9187 
   00515    0.4900   -1475.7862  0.9153 
   00516    0.4400   -1481.5043  0.9185 
   00517    0.4750   -1484.8428  0.9172 
   00518    0.4425   -1483.1257  0.9116 
   00519    0.4900   -1480.8242  0.9126 
   00520    0.4775   -1478.2113  0.9099 
   00521    0.4550   -1473.3812  0.9104 
   00522    0.4400   -1475.6754  0.9085 
   00523    0.4150   -1465.7397  0.9070 
   00524    0.4700   -1469.7463  0.9127 
   00525    0.4400   -1469.0304  0.9128 
   00526    0.4525   -1461.8720  0.9165 
   00527    0.4675   -1468.0957  0.9176 
   00528    0.4300   -1469.4661  0.9152 
   00529    0.4025   -1468.0920  0.9170 
   00530    0.4575   -1475.1421  0.9139 
   00531    0.4275   -1475.7688  0.9142 
   00532    0.4675   -1474.8624  0.9160 
   00533    0.4250   -1477.9843  0.9220 
   00534    0.4300   -1486.6042  0.9276 
   00535    0.4475   -1492.0888  0.9267 
   00536    0.4850   -1493.9960  0.9296 
   00537    0.4675   -1490.6845  0.9280 
   00538    0.4100   -1497.7127  0.9262 
   00539    0.4050   -1492.9648  0.9235 
   00540    0.4625   -1487.7438  0.9232 
   00541    0.4400   -1479.8019  0.9172 
   00542    0.4375   -1472.9882  0.9134 
   00543    0.4250   -1460.4175  0.9044 
   00544    0.4925   -1461.3439  0.9107 
   00545    0.4450   -1457.8484  0.9117 
   00546    0.4675   -1456.1739  0.9145 
   00547    0.4575   -1454.0051  0.9102 
   00548    0.4125   -1455.2681  0.9130 
   00549    0.4600   -1466.7209  0.9208 
   00550    0.4650   -1474.1506  0.9229 
   00551    0.4375   -1474.6373  0.9189 
   00552    0.4200   -1465.9146  0.9129 
   00553    0.4275   -1471.0279  0.9151 
   00554    0.4850   -1477.4889  0.9133 
   00555    0.4250   -1467.5535  0.9121 
   00556    0.4325   -1459.4068  0.9083 
   00557    0.4875   -1463.1246  0.8979 
   00558    0.4500   -1466.3713  0.9033 
   00559    0.4225   -1466.2682  0.9024 
   00560    0.4775   -1451.1682  0.8958 
   00561    0.4125   -1456.0841  0.8934 
   00562    0.4575   -1457.6845  0.8909 
   00563    0.4525   -1459.0888  0.8891 
   00564    0.4375   -1454.3201  0.8853 
   00565    0.4125   -1452.9706  0.8795 
   00566    0.4275   -1467.0885  0.8885 
   00567    0.4225   -1471.4601  0.8950 
   00568    0.4975   -1473.0851  0.8899 
   00569    0.4525   -1466.7754  0.8878 
   00570    0.4475   -1467.2654  0.8886 
   00571    0.3875   -1459.7455  0.8843 
   00572    0.4175   -1463.3996  0.8861 
   00573    0.4450   -1463.8815  0.8900 
   00574    0.4675   -1456.9542  0.8875 
   00575    0.4150   -1456.1224  0.8806 
   00576    0.4225   -1473.2660  0.8888 
   00577    0.4275   -1469.9245  0.8914 
   00578    0.4600   -1470.7590  0.8864 
   00579    0.4275   -1463.3148  0.8930 
   00580    0.3950   -1462.9902  0.8875 
   00581    0.4625   -1476.0401  0.8922 
   00582    0.5050   -1471.8936  0.8904 
   00583    0.4025   -1477.3023  0.8981 
   00584    0.4325   -1478.5499  0.9006 
   00585    0.4300   -1482.5641  0.9026 
   00586    0.4325   -1472.5151  0.9004 
   00587    0.4350   -1472.7209  0.9014 
   00588    0.4300   -1477.3566  0.9086 
   00589    0.4450   -1485.2009  0.9108 
   00590    0.4550   -1483.6949  0.9083 
   00591    0.4450   -1486.9610  0.9119 
   00592    0.4625   -1485.9818  0.9143 
   00593    0.4525   -1479.9838  0.9102 
   00594    0.4425   -1482.8575  0.9137 
   00595    0.3850   -1489.2713  0.9158 
   00596    0.4275   -1489.5363  0.9212 
   00597    0.4075   -1478.9926  0.9225 
   00598    0.4225   -1482.8806  0.9247 
   00599    0.4050   -1476.4941  0.9235 
   00600    0.4375   -1481.0431  0.9212 
   00601    0.4125   -1480.4725  0.9220 
   00602    0.4575   -1479.8786  0.9175 
   00603    0.4725   -1473.5575  0.9129 
   00604    0.4525   -1470.5162  0.9198 
   00605    0.3700   -1475.8346  0.9187 
   00606    0.4025   -1476.7989  0.9215 
   00607    0.4125   -1475.7494  0.9181 
   00608    0.4775   -1478.3245  0.9207 
   00609    0.4350   -1471.6066  0.9200 
   00610    0.4650   -1469.9809  0.9233 
   00611    0.4925   -1468.5820  0.9265 
   00612    0.4175   -1464.4122  0.9240 
   00613    0.4125   -1453.5495  0.9187 
   00614    0.4850   -1478.1235  0.9248 
   00615    0.4575   -1471.1236  0.9207 
   00616    0.3950   -1473.8468  0.9231 
   00617    0.4325   -1475.2739  0.9214 
   00618    0.4275   -1473.3114  0.9201 
